x 	 n(x) 	 p(x) 	 eq_n(x) 	 eq_p(x) 	 dndx 	 dpdx 	 Conduction level 	 Valence level 	 Electron-field 	 Hole-field 	 alfa 	 Generation 

              0	1.551e+17	1.151e+17	1.335e+05	1e+18	0	0	1.5	0	0	0	1.391e+07	0
      2.345e-09	1.589e+17	1.515e+17	1.334e+05	1e+18	1.589e+24	1.515e+25	1.5	0	0	0	1.391e+07	0
       4.69e-09	1.626e+17	1.861e+17	1.332e+05	1e+18	1.516e+24	1.442e+25	1.5	0	0	0	1.391e+07	0
      7.035e-09	1.661e+17	2.191e+17	1.33e+05	1e+18	1.446e+24	1.372e+25	1.5	0	0	0	1.391e+07	0
       9.38e-09	1.694e+17	2.504e+17	1.328e+05	1e+18	1.379e+24	1.305e+25	1.5	0	0	0	1.391e+07	0
      1.173e-08	1.725e+17	2.803e+17	1.327e+05	1e+18	1.315e+24	1.241e+25	1.5	0	0	0	1.391e+07	0
      1.407e-08	1.755e+17	3.086e+17	1.325e+05	1e+18	1.254e+24	1.179e+25	1.5	0	0	0	1.391e+07	0
      1.642e-08	1.784e+17	3.356e+17	1.323e+05	1e+18	1.195e+24	1.121e+25	1.5	0	0	0	1.391e+07	0
      1.876e-08	1.811e+17	3.612e+17	1.321e+05	1e+18	1.138e+24	1.065e+25	1.5	0	0	0	1.391e+07	0
       2.11e-08	1.837e+17	3.855e+17	1.32e+05	1e+18	1.084e+24	1.011e+25	1.5	0	0	0	1.391e+07	0
      2.345e-08	1.862e+17	4.086e+17	1.318e+05	1e+18	1.032e+24	9.593e+24	1.5	0	0	0	1.391e+07	0
      2.579e-08	1.886e+17	4.305e+17	1.316e+05	1e+18	9.819e+23	9.1e+24	1.5	0	0	0	1.391e+07	0
      2.814e-08	1.908e+17	4.513e+17	1.314e+05	1e+18	9.342e+23	8.628e+24	1.5	0	0	0	1.391e+07	0
      3.048e-08	1.93e+17	4.71e+17	1.312e+05	1e+18	8.883e+23	8.176e+24	1.5	0	0	0	1.391e+07	0
      3.283e-08	1.95e+17	4.896e+17	1.311e+05	1e+18	8.444e+23	7.743e+24	1.5	0	0	0	1.391e+07	0
      3.517e-08	1.969e+17	5.073e+17	1.309e+05	1e+18	8.022e+23	7.329e+24	1.5	0	0	0	1.391e+07	0
      3.752e-08	1.988e+17	5.24e+17	1.307e+05	1e+18	7.618e+23	6.932e+24	1.5	0	0	0	1.391e+07	0
      3.986e-08	2.005e+17	5.398e+17	1.305e+05	1e+18	7.231e+23	6.553e+24	1.5	0	0	0	1.391e+07	0
      4.221e-08	2.021e+17	5.547e+17	1.304e+05	1e+18	6.859e+23	6.189e+24	1.5	0	0	0	1.391e+07	0
      4.455e-08	2.037e+17	5.688e+17	1.302e+05	1e+18	6.503e+23	5.841e+24	1.5	0	0	0	1.391e+07	0
       4.69e-08	2.052e+17	5.821e+17	1.3e+05	1e+18	6.161e+23	5.508e+24	1.5	0	0	0	1.391e+07	0
      4.924e-08	2.066e+17	5.946e+17	1.298e+05	1e+18	5.833e+23	5.189e+24	1.5	0	0	0	1.391e+07	0
      5.159e-08	2.079e+17	6.064e+17	1.296e+05	1e+18	5.518e+23	4.883e+24	1.5	0	0	0	1.391e+07	0
      5.393e-08	2.092e+17	6.175e+17	1.295e+05	1e+18	5.217e+23	4.591e+24	1.5	0	0	0	1.391e+07	0
      5.628e-08	2.104e+17	6.28e+17	1.293e+05	1e+18	4.927e+23	4.311e+24	1.5	0	0	0	1.391e+07	0
      5.862e-08	2.115e+17	6.378e+17	1.291e+05	1e+18	4.649e+23	4.043e+24	1.5	0	0	0	1.391e+07	0
      6.097e-08	2.126e+17	6.469e+17	1.289e+05	1e+18	4.383e+23	3.787e+24	1.5	0	0	0	1.391e+07	0
      6.331e-08	2.136e+17	6.555e+17	1.288e+05	1e+18	4.127e+23	3.542e+24	1.5	0	0	0	1.391e+07	0
      6.566e-08	2.145e+17	6.635e+17	1.286e+05	1e+18	3.882e+23	3.307e+24	1.5	0	0	0	1.391e+07	0
        6.8e-08	2.154e+17	6.71e+17	1.284e+05	1e+18	3.646e+23	3.082e+24	1.5	0	0	0	1.391e+07	0
      7.035e-08	2.162e+17	6.78e+17	1.282e+05	1e+18	3.42e+23	2.867e+24	1.5	0	0	0	1.391e+07	0
      7.269e-08	2.17e+17	6.845e+17	1.281e+05	1e+18	3.203e+23	2.661e+24	1.5	0	0	0	1.391e+07	0
      7.504e-08	2.177e+17	6.905e+17	1.279e+05	1e+18	2.995e+23	2.464e+24	1.5	0	0	0	1.391e+07	0
      7.738e-08	2.184e+17	6.96e+17	1.277e+05	1e+18	2.796e+23	2.275e+24	1.5	0	0	0	1.391e+07	0
      7.973e-08	2.19e+17	7.012e+17	1.275e+05	1e+18	2.604e+23	2.095e+24	1.5	0	0	0	1.391e+07	0
      8.207e-08	2.196e+17	7.059e+17	1.273e+05	1e+18	2.42e+23	1.922e+24	1.5	0	0	0	1.391e+07	0
      8.442e-08	2.202e+17	7.102e+17	1.272e+05	1e+18	2.243e+23	1.757e+24	1.5	0	0	0	1.391e+07	0
      8.676e-08	2.207e+17	7.141e+17	1.27e+05	1e+18	2.074e+23	1.599e+24	1.5	0	0	0	1.391e+07	0
      8.911e-08	2.211e+17	7.177e+17	1.268e+05	1e+18	1.911e+23	1.448e+24	1.5	0	0	0	1.391e+07	0
      9.145e-08	2.216e+17	7.209e+17	1.266e+05	1e+18	1.755e+23	1.303e+24	1.5	0	0	0	1.391e+07	0
       9.38e-08	2.22e+17	7.238e+17	1.265e+05	1e+18	1.605e+23	1.165e+24	1.5	0	0	0	1.391e+07	0
      9.614e-08	2.223e+17	7.264e+17	1.263e+05	1e+18	1.461e+23	1.033e+24	1.5	0	0	0	1.391e+07	0
      9.849e-08	2.226e+17	7.286e+17	1.261e+05	1e+18	1.323e+23	9.069e+23	1.5	0	0	0	1.391e+07	0
      1.008e-07	2.229e+17	7.306e+17	1.259e+05	1e+18	1.191e+23	7.862e+23	1.5	0	0	0	1.391e+07	0
      1.032e-07	2.232e+17	7.323e+17	1.257e+05	1e+18	1.063e+23	6.708e+23	1.5	0	0	0	1.391e+07	0
      1.055e-07	2.234e+17	7.338e+17	1.256e+05	1e+18	9.41e+22	5.605e+23	1.5	0	0	0	1.391e+07	0
      1.079e-07	2.236e+17	7.349e+17	1.254e+05	1e+18	8.237e+22	4.551e+23	1.5	0	0	0	1.391e+07	0
      1.102e-07	2.238e+17	7.359e+17	1.252e+05	1e+18	7.11e+22	3.544e+23	1.5	0	0	0	1.391e+07	0
      1.126e-07	2.24e+17	7.366e+17	1.25e+05	1e+18	6.028e+22	2.582e+23	1.5	0	0	0	1.391e+07	0
      1.149e-07	2.241e+17	7.371e+17	1.249e+05	1e+18	4.989e+22	1.663e+23	1.5	0	0	0	1.391e+07	0
      1.172e-07	2.242e+17	7.374e+17	1.247e+05	1e+18	3.991e+22	7.864e+22	1.5	0	0	0	1.391e+07	0
      1.196e-07	2.243e+17	7.375e+17	1.245e+05	1e+18	3.034e+22	-5.101e+21	1.5	0	0	0	1.391e+07	0
      1.219e-07	2.243e+17	7.374e+17	1.243e+05	1e+18	2.114e+22	-8.503e+22	1.5	0	0	0	1.391e+07	0
      1.243e-07	2.244e+17	7.371e+17	1.241e+05	1e+18	1.231e+22	-1.613e+23	1.5	0	0	0	1.391e+07	0
      1.266e-07	2.244e+17	7.366e+17	1.24e+05	1e+18	3.834e+21	-2.341e+23	1.5	0	0	0	1.391e+07	0
       1.29e-07	2.244e+17	7.36e+17	1.238e+05	1e+18	-4.307e+21	-3.035e+23	1.5	0	0	0	1.391e+07	0
      1.313e-07	2.244e+17	7.352e+17	1.236e+05	1e+18	-1.212e+22	-3.696e+23	1.5	0	0	0	1.391e+07	0
      1.337e-07	2.243e+17	7.342e+17	1.234e+05	1e+18	-1.963e+22	-4.327e+23	1.5	0	0	0	1.391e+07	0
       1.36e-07	2.243e+17	7.331e+17	1.233e+05	1e+18	-2.684e+22	-4.929e+23	1.5	0	0	0	1.391e+07	0
      1.384e-07	2.242e+17	7.319e+17	1.231e+05	1e+18	-3.376e+22	-5.501e+23	1.5	0	0	0	1.391e+07	0
      1.407e-07	2.241e+17	7.306e+17	1.229e+05	1e+18	-4.04e+22	-6.047e+23	1.5	0	0	0	1.391e+07	0
       1.43e-07	2.24e+17	7.291e+17	1.227e+05	1e+18	-4.678e+22	-6.566e+23	1.5	0	0	0	1.391e+07	0
      1.454e-07	2.239e+17	7.275e+17	1.226e+05	1e+18	-5.29e+22	-7.06e+23	1.5	0	0	0	1.391e+07	0
      1.477e-07	2.238e+17	7.258e+17	1.224e+05	1e+18	-5.878e+22	-7.531e+23	1.5	0	0	0	1.391e+07	0
      1.501e-07	2.236e+17	7.24e+17	1.222e+05	1e+18	-6.443e+22	-7.978e+23	1.5	0	0	0	1.391e+07	0
      1.524e-07	2.235e+17	7.22e+17	1.22e+05	1e+18	-6.985e+22	-8.403e+23	1.5	0	0	0	1.391e+07	0
      1.548e-07	2.233e+17	7.2e+17	1.218e+05	1e+18	-7.506e+22	-8.806e+23	1.5	0	0	0	1.391e+07	0
      1.571e-07	2.231e+17	7.179e+17	1.217e+05	1e+18	-8.005e+22	-9.19e+23	1.5	0	0	0	1.391e+07	0
      1.595e-07	2.229e+17	7.157e+17	1.215e+05	1e+18	-8.485e+22	-9.554e+23	1.5	0	0	0	1.391e+07	0
      1.618e-07	2.227e+17	7.134e+17	1.213e+05	1e+18	-8.945e+22	-9.899e+23	1.5	0	0	0	1.391e+07	0
      1.642e-07	2.225e+17	7.111e+17	1.211e+05	1e+18	-9.387e+22	-1.023e+24	1.5	0	0	0	1.391e+07	0
      1.665e-07	2.223e+17	7.086e+17	1.21e+05	1e+18	-9.811e+22	-1.054e+24	1.5	0	0	0	1.391e+07	0
      1.688e-07	2.221e+17	7.061e+17	1.208e+05	1e+18	-1.022e+23	-1.083e+24	1.5	0	0	0	1.391e+07	0
      1.712e-07	2.218e+17	7.036e+17	1.206e+05	1e+18	-1.061e+23	-1.111e+24	1.5	0	0	0	1.391e+07	0
      1.735e-07	2.216e+17	7.009e+17	1.204e+05	1e+18	-1.098e+23	-1.137e+24	1.5	0	0	0	1.391e+07	0
      1.759e-07	2.213e+17	6.982e+17	1.202e+05	1e+18	-1.134e+23	-1.162e+24	1.5	0	0	0	1.391e+07	0
      1.782e-07	2.21e+17	6.955e+17	1.201e+05	1e+18	-1.169e+23	-1.185e+24	1.5	0	0	0	1.391e+07	0
      1.806e-07	2.207e+17	6.927e+17	1.199e+05	1e+18	-1.202e+23	-1.207e+24	1.5	0	0	0	1.391e+07	0
      1.829e-07	2.205e+17	6.898e+17	1.197e+05	1e+18	-1.234e+23	-1.228e+24	1.5	0	0	0	1.391e+07	0
      1.853e-07	2.202e+17	6.869e+17	1.195e+05	1e+18	-1.264e+23	-1.247e+24	1.5	0	0	0	1.391e+07	0
      1.876e-07	2.199e+17	6.84e+17	1.194e+05	1e+18	-1.294e+23	-1.266e+24	1.5	0	0	0	1.391e+07	0
      1.899e-07	2.196e+17	6.81e+17	1.192e+05	1e+18	-1.322e+23	-1.283e+24	1.5	0	0	0	1.391e+07	0
      1.923e-07	2.192e+17	6.779e+17	1.19e+05	1e+18	-1.349e+23	-1.299e+24	1.5	0	0	0	1.391e+07	0
      1.946e-07	2.189e+17	6.749e+17	1.188e+05	1e+18	-1.374e+23	-1.314e+24	1.5	0	0	0	1.391e+07	0
