x 	 n(x) 	 p(x) 	 Conduction level 	 Valence level 	 Fermi level 	 Generation 

     2e-06	0	2e+17	2	-4.441e-16	0.25	5.18e+26
 2.001e-06	2.093e+13	9.813e+15	2	-0.0004567	0.25	5.119e+26
 2.002e-06	4.159e+13	1.751e+16	1.999	-0.0009148	0.25	5.058e+26
 2.004e-06	6.192e+13	2.506e+16	1.999	-0.001374	0.25	4.999e+26
 2.005e-06	8.19e+13	3.247e+16	1.998	-0.001835	0.25	4.94e+26
 2.006e-06	1.015e+14	3.973e+16	1.998	-0.002297	0.25	4.883e+26
 2.007e-06	1.209e+14	4.684e+16	1.997	-0.002761	0.25	4.826e+26
 2.008e-06	1.399e+14	5.382e+16	1.997	-0.003226	0.25	4.77e+26
  2.01e-06	1.586e+14	6.066e+16	1.996	-0.003693	0.25	4.715e+26
 2.011e-06	1.769e+14	6.737e+16	1.996	-0.004161	0.25	4.661e+26
 2.012e-06	1.95e+14	7.394e+16	1.995	-0.00463	0.25	4.608e+26
 2.013e-06	2.128e+14	8.038e+16	1.995	-0.005101	0.25	4.556e+26
 2.014e-06	2.303e+14	8.669e+16	1.994	-0.005573	0.25	4.505e+26
 2.016e-06	2.475e+14	9.287e+16	1.994	-0.006046	0.25	4.454e+26
 2.017e-06	2.644e+14	9.892e+16	1.993	-0.006521	0.25	4.404e+26
 2.018e-06	2.81e+14	1.049e+17	1.993	-0.006997	0.25	4.356e+26
 2.019e-06	2.974e+14	1.107e+17	1.992	-0.007475	0.25	4.307e+26
  2.02e-06	3.135e+14	1.163e+17	1.992	-0.007954	0.25	4.26e+26
 2.022e-06	3.294e+14	1.219e+17	1.991	-0.008434	0.25	4.213e+26
 2.023e-06	3.449e+14	1.274e+17	1.991	-0.008916	0.25	4.168e+26
 2.024e-06	3.603e+14	1.327e+17	1.99	-0.009399	0.25	4.122e+26
 2.025e-06	3.754e+14	1.379e+17	1.99	-0.009884	0.25	4.078e+26
 2.026e-06	3.902e+14	1.43e+17	1.989	-0.01037	0.25	4.035e+26
 2.028e-06	4.048e+14	1.48e+17	1.989	-0.01086	0.25	3.992e+26
 2.029e-06	4.192e+14	1.529e+17	1.988	-0.01135	0.25	3.95e+26
  2.03e-06	4.334e+14	1.577e+17	1.988	-0.01184	0.25	3.908e+26
 2.031e-06	4.473e+14	1.624e+17	1.987	-0.01233	0.25	3.866e+26
 2.032e-06	4.61e+14	1.67e+17	1.987	-0.01282	0.25	3.826e+26
 2.034e-06	4.745e+14	1.714e+17	1.986	-0.01332	0.25	3.786e+26
 2.035e-06	4.877e+14	1.758e+17	1.986	-0.01381	0.25	3.746e+26
 2.036e-06	5.008e+14	1.801e+17	1.985	-0.01431	0.25	3.708e+26
 2.037e-06	5.137e+14	1.843e+17	1.985	-0.01481	0.25	3.669e+26
 2.038e-06	5.263e+14	1.883e+17	1.984	-0.01531	0.25	3.632e+26
  2.04e-06	5.388e+14	1.923e+17	1.984	-0.01581	0.25	3.595e+26
 2.041e-06	5.511e+14	1.962e+17	1.983	-0.01631	0.25	3.558e+26
 2.042e-06	5.632e+14	2e+17	1.982	-0.01682	0.25	3.523e+26
 2.043e-06	5.751e+14	2.038e+17	1.982	-0.01732	0.25	3.487e+26
 2.044e-06	5.868e+14	2.074e+17	1.981	-0.01783	0.25	3.453e+26
 2.046e-06	5.983e+14	2.109e+17	1.981	-0.01834	0.25	3.419e+26
 2.047e-06	6.097e+14	2.144e+17	1.98	-0.01885	0.25	3.385e+26
 2.048e-06	6.209e+14	2.178e+17	1.98	-0.01936	0.25	3.352e+26
 2.049e-06	6.319e+14	2.211e+17	1.979	-0.01987	0.25	3.32e+26
  2.05e-06	6.427e+14	2.243e+17	1.979	-0.02038	0.25	3.288e+26
 2.052e-06	6.534e+14	2.274e+17	1.978	-0.0209	0.25	3.257e+26
 2.053e-06	6.64e+14	2.304e+17	1.977	-0.02142	0.25	3.226e+26
 2.054e-06	6.743e+14	2.334e+17	1.977	-0.02193	0.25	3.195e+26
 2.055e-06	6.846e+14	2.363e+17	1.976	-0.02245	0.25	3.166e+26
 2.056e-06	6.946e+14	2.392e+17	1.976	-0.02297	0.25	3.136e+26
 2.058e-06	7.046e+14	2.419e+17	1.975	-0.0235	0.25	3.108e+26
 2.059e-06	7.144e+14	2.446e+17	1.975	-0.02402	0.25	3.079e+26
  2.06e-06	7.24e+14	2.472e+17	1.974	-0.02455	0.25	3.052e+26
 2.061e-06	7.335e+14	2.498e+17	1.973	-0.02507	0.25	3.024e+26
 2.062e-06	7.429e+14	2.522e+17	1.973	-0.0256	0.25	2.997e+26
 2.064e-06	7.521e+14	2.546e+17	1.972	-0.02613	0.25	2.971e+26
 2.065e-06	7.612e+14	2.57e+17	1.972	-0.02666	0.25	2.945e+26
 2.066e-06	7.702e+14	2.593e+17	1.971	-0.02719	0.25	2.92e+26
 2.067e-06	7.79e+14	2.615e+17	1.97	-0.02773	0.25	2.895e+26
 2.068e-06	7.878e+14	2.636e+17	1.97	-0.02826	0.25	2.87e+26
  2.07e-06	7.964e+14	2.657e+17	1.969	-0.0288	0.25	2.846e+26
 2.071e-06	8.048e+14	2.678e+17	1.969	-0.02934	0.25	2.823e+26
 2.072e-06	8.132e+14	2.698e+17	1.968	-0.02987	0.25	2.799e+26
 2.073e-06	8.215e+14	2.717e+17	1.967	-0.03041	0.25	2.777e+26
 2.074e-06	8.296e+14	2.735e+17	1.967	-0.03096	0.25	2.754e+26
 2.076e-06	8.376e+14	2.753e+17	1.966	-0.0315	0.25	2.732e+26
 2.077e-06	8.456e+14	2.771e+17	1.965	-0.03204	0.25	2.711e+26
 2.078e-06	8.534e+14	2.788e+17	1.965	-0.03259	0.25	2.69e+26
 2.079e-06	8.611e+14	2.805e+17	1.964	-0.03314	0.25	2.669e+26
  2.08e-06	8.687e+14	2.821e+17	1.964	-0.03369	0.25	2.649e+26
 2.082e-06	8.762e+14	2.836e+17	1.963	-0.03424	0.25	2.629e+26
 2.083e-06	8.837e+14	2.851e+17	1.962	-0.03479	0.25	2.61e+26
 2.084e-06	8.91e+14	2.866e+17	1.962	-0.03534	0.25	2.591e+26
 2.085e-06	8.982e+14	2.88e+17	1.961	-0.0359	0.25	2.572e+26
 2.086e-06	9.054e+14	2.893e+17	1.96	-0.03645	0.25	2.554e+26
 2.088e-06	9.124e+14	2.906e+17	1.96	-0.03701	0.25	2.536e+26
 2.089e-06	9.194e+14	2.919e+17	1.959	-0.03757	0.25	2.518e+26
  2.09e-06	9.262e+14	2.931e+17	1.958	-0.03813	0.25	2.501e+26
 2.091e-06	9.33e+14	2.943e+17	1.958	-0.03869	0.25	2.484e+26
 2.092e-06	9.397e+14	2.954e+17	1.957	-0.03925	0.25	2.468e+26
 2.094e-06	9.464e+14	2.965e+17	1.957	-0.03982	0.25	2.451e+26
 2.095e-06	9.529e+14	2.976e+17	1.956	-0.04038	0.25	2.434e+26
 2.096e-06	9.594e+14	2.986e+17	1.955	-0.04095	0.25	2.418e+26
 2.097e-06	9.658e+14	2.996e+17	1.955	-0.04152	0.25	2.402e+26
 2.098e-06	9.721e+14	3.005e+17	1.954	-0.04209	0.25	2.386e+26
   2.1e-06	9.783e+14	3.014e+17	1.953	-0.04266	0.25	2.37e+26
 2.101e-06	9.845e+14	3.023e+17	1.953	-0.04323	0.25	2.355e+26
 2.102e-06	9.906e+14	3.032e+17	1.952	-0.04381	0.25	2.34e+26
 2.103e-06	9.966e+14	3.04e+17	1.951	-0.04438	0.25	2.325e+26
 2.104e-06	1.003e+15	3.047e+17	1.951	-0.04496	0.25	2.311e+26
 2.106e-06	1.008e+15	3.054e+17	1.95	-0.04554	0.25	2.297e+26
 2.107e-06	1.014e+15	3.061e+17	1.949	-0.04612	0.25	2.283e+26
 2.108e-06	1.02e+15	3.068e+17	1.948	-0.0467	0.25	2.27e+26
 2.109e-06	1.026e+15	3.075e+17	1.948	-0.04728	0.25	2.257e+26
  2.11e-06	1.031e+15	3.081e+17	1.947	-0.04786	0.25	2.245e+26
 2.112e-06	1.037e+15	3.086e+17	1.946	-0.04845	0.25	2.232e+26
 2.113e-06	1.043e+15	3.092e+17	1.946	-0.04904	0.25	2.221e+26
 2.114e-06	1.048e+15	3.097e+17	1.945	-0.04962	0.25	2.209e+26
 2.115e-06	1.054e+15	3.102e+17	1.944	-0.05021	0.25	2.198e+26
 2.116e-06	1.059e+15	3.107e+17	1.944	-0.0508	0.25	2.187e+26
 2.118e-06	1.064e+15	3.111e+17	1.943	-0.0514	0.25	2.176e+26
 2.119e-06	1.069e+15	3.115e+17	1.942	-0.05199	0.25	2.166e+26
  2.12e-06	1.075e+15	3.119e+17	1.941	-0.05258	0.25	2.156e+26
 2.121e-06	1.08e+15	3.122e+17	1.941	-0.05318	0.25	2.146e+26
 2.122e-06	1.085e+15	3.126e+17	1.94	-0.05378	0.25	2.137e+26
 2.124e-06	1.09e+15	3.129e+17	1.939	-0.05438	0.25	2.128e+26
 2.125e-06	1.095e+15	3.132e+17	1.939	-0.05498	0.25	2.119e+26
 2.126e-06	1.1e+15	3.135e+17	1.938	-0.05558	0.25	2.111e+26
 2.127e-06	1.105e+15	3.137e+17	1.937	-0.05618	0.25	2.103e+26
 2.128e-06	1.11e+15	3.139e+17	1.936	-0.05679	0.25	2.094e+26
  2.13e-06	1.115e+15	3.141e+17	1.936	-0.05739	0.25	2.085e+26
 2.131e-06	1.12e+15	3.143e+17	1.935	-0.058	0.25	2.076e+26
 2.132e-06	1.124e+15	3.145e+17	1.934	-0.05861	0.25	2.068e+26
 2.133e-06	1.129e+15	3.146e+17	1.933	-0.05922	0.25	2.059e+26
 2.134e-06	1.134e+15	3.147e+17	1.933	-0.05983	0.25	2.051e+26
 2.136e-06	1.139e+15	3.148e+17	1.932	-0.06045	0.25	2.044e+26
 2.137e-06	1.143e+15	3.149e+17	1.931	-0.06106	0.25	2.036e+26
 2.138e-06	1.148e+15	3.15e+17	1.93	-0.06168	0.25	2.029e+26
 2.139e-06	1.152e+15	3.15e+17	1.93	-0.06229	0.25	2.022e+26
  2.14e-06	1.157e+15	3.151e+17	1.929	-0.06291	0.25	2.016e+26
 2.142e-06	1.161e+15	3.151e+17	1.928	-0.06353	0.25	2.01e+26
 2.143e-06	1.166e+15	3.151e+17	1.927	-0.06415	0.25	2.004e+26
 2.144e-06	1.17e+15	3.151e+17	1.927	-0.06478	0.25	1.998e+26
 2.145e-06	1.175e+15	3.15e+17	1.926	-0.0654	0.25	1.993e+26
 2.146e-06	1.179e+15	3.15e+17	1.925	-0.06603	0.25	1.988e+26
 2.148e-06	1.184e+15	3.149e+17	1.924	-0.06665	0.25	1.983e+26
 2.149e-06	1.188e+15	3.148e+17	1.923	-0.06728	0.25	1.979e+26
  2.15e-06	1.192e+15	3.147e+17	1.923	-0.06791	0.25	1.974e+26
 2.151e-06	1.197e+15	3.146e+17	1.922	-0.06854	0.25	1.971e+26
 2.152e-06	1.201e+15	3.145e+17	1.921	-0.06918	0.25	1.967e+26
 2.154e-06	1.205e+15	3.144e+17	1.92	-0.06981	0.25	1.964e+26
 2.155e-06	1.209e+15	3.143e+17	1.92	-0.07045	0.25	1.961e+26
 2.156e-06	1.213e+15	3.141e+17	1.919	-0.07108	0.25	1.957e+26
 2.157e-06	1.218e+15	3.139e+17	1.918	-0.07172	0.25	1.953e+26
 2.158e-06	1.222e+15	3.138e+17	1.917	-0.07236	0.25	1.949e+26
  2.16e-06	1.226e+15	3.136e+17	1.916	-0.073	0.25	1.945e+26
 2.161e-06	1.23e+15	3.134e+17	1.916	-0.07364	0.25	1.941e+26
 2.162e-06	1.234e+15	3.132e+17	1.915	-0.07429	0.25	1.938e+26
 2.163e-06	1.238e+15	3.13e+17	1.914	-0.07493	0.25	1.935e+26
 2.164e-06	1.242e+15	3.127e+17	1.913	-0.07558	0.25	1.933e+26
