  x  	  n(x)  	  dndx(x)  	  Alfa  	  Band gap  	  EQ Field

         0	6.199e+10	0	7.417e+06	2.76	-1.615e+05
   7.8e-09	6.594e+10	4.92e+17	7.427e+06	2.759	-1.615e+05
  1.56e-08	6.966e+10	4.635e+17	7.436e+06	2.757	-1.615e+05
  2.34e-08	7.317e+10	4.365e+17	7.446e+06	2.756	-1.615e+05
  3.12e-08	7.647e+10	4.11e+17	7.455e+06	2.755	-1.615e+05
   3.9e-08	7.958e+10	3.868e+17	7.464e+06	2.754	-1.615e+05
  4.68e-08	8.251e+10	3.64e+17	7.474e+06	2.752	-1.615e+05
  5.46e-08	8.526e+10	3.425e+17	7.483e+06	2.751	-1.615e+05
  6.24e-08	8.785e+10	3.221e+17	7.493e+06	2.75	-1.615e+05
  7.02e-08	9.029e+10	3.029e+17	7.502e+06	2.749	-1.615e+05
   7.8e-08	9.258e+10	2.847e+17	7.511e+06	2.747	-1.615e+05
  8.58e-08	9.473e+10	2.676e+17	7.521e+06	2.746	-1.615e+05
  9.36e-08	9.675e+10	2.513e+17	7.53e+06	2.745	-1.615e+05
 1.014e-07	9.865e+10	2.36e+17	7.54e+06	2.744	-1.615e+05
 1.092e-07	1.004e+11	2.215e+17	7.549e+06	2.742	-1.615e+05
  1.17e-07	1.021e+11	2.079e+17	7.559e+06	2.741	-1.615e+05
 1.248e-07	1.037e+11	1.95e+17	7.568e+06	2.74	-1.615e+05
 1.326e-07	1.051e+11	1.828e+17	7.578e+06	2.739	-1.615e+05
 1.404e-07	1.065e+11	1.713e+17	7.588e+06	2.737	-1.615e+05
 1.482e-07	1.078e+11	1.604e+17	7.597e+06	2.736	-1.615e+05
  1.56e-07	1.09e+11	1.501e+17	7.607e+06	2.735	-1.615e+05
 1.638e-07	1.102e+11	1.405e+17	7.616e+06	2.734	-1.615e+05
 1.716e-07	1.112e+11	1.313e+17	7.626e+06	2.732	-1.615e+05
 1.794e-07	1.122e+11	1.227e+17	7.636e+06	2.731	-1.615e+05
 1.872e-07	1.131e+11	1.145e+17	7.645e+06	2.73	-1.615e+05
  1.95e-07	1.14e+11	1.069e+17	7.655e+06	2.728	-1.615e+05
 2.028e-07	1.148e+11	9.96e+16	7.664e+06	2.727	-1.615e+05
 2.106e-07	1.155e+11	9.276e+16	7.674e+06	2.726	-1.615e+05
 2.184e-07	1.162e+11	8.631e+16	7.684e+06	2.725	-1.615e+05
 2.262e-07	1.169e+11	8.022e+16	7.693e+06	2.723	-1.615e+05
  2.34e-07	1.175e+11	7.448e+16	7.703e+06	2.722	-1.615e+05
 2.418e-07	1.181e+11	6.906e+16	7.713e+06	2.721	-1.615e+05
 2.496e-07	1.186e+11	6.395e+16	7.723e+06	2.72	-1.615e+05
 2.574e-07	1.191e+11	5.913e+16	7.732e+06	2.718	-1.615e+05
