 x 	 n(x) 	 dndx(x) 	 (maj)p(x) 	 Alfa 	 Conduction level 	 Valence level 	 Fermi level 	 EQ Field 	 Generation 

         0	9.953e+15	0	2.1e+17	1.084e-15	2.76	0	0.25	-3.8e+05	4.857e+27
     2e-09	1.027e+16	1.561e+23	2.103e+17	1.169e-15	2.759	0	0.25	-3.8e+05	4.708e+27
     4e-09	1.058e+16	1.515e+23	2.106e+17	1.262e-15	2.758	0	0.25	-3.8e+05	4.563e+27
     6e-09	1.088e+16	1.471e+23	2.109e+17	1.361e-15	2.758	0	0.25	-3.8e+05	4.423e+27
     8e-09	1.117e+16	1.428e+23	2.112e+17	1.469e-15	2.757	0	0.25	-3.8e+05	4.288e+27
     1e-08	1.145e+16	1.387e+23	2.114e+17	1.585e-15	2.756	0	0.25	-3.8e+05	4.158e+27
   1.2e-08	1.172e+16	1.347e+23	2.117e+17	1.71e-15	2.755	0	0.25	-3.8e+05	4.032e+27
   1.4e-08	1.199e+16	1.308e+23	2.12e+17	1.845e-15	2.755	0	0.25	-3.8e+05	3.91e+27
   1.6e-08	1.224e+16	1.27e+23	2.122e+17	1.99e-15	2.754	0	0.25	-3.8e+05	3.791e+27
   1.8e-08	1.249e+16	1.234e+23	2.125e+17	2.147e-15	2.753	0	0.25	-3.8e+05	3.676e+27
     2e-08	1.274e+16	1.199e+23	2.127e+17	2.317e-15	2.752	0	0.25	-3.8e+05	3.565e+27
   2.2e-08	1.297e+16	1.165e+23	2.13e+17	2.5e-15	2.752	0	0.25	-3.8e+05	3.457e+27
   2.4e-08	1.32e+16	1.132e+23	2.132e+17	2.697e-15	2.751	0	0.25	-3.8e+05	3.354e+27
   2.6e-08	1.343e+16	1.1e+23	2.134e+17	2.91e-15	2.75	0	0.25	-3.8e+05	3.254e+27
   2.8e-08	1.364e+16	1.069e+23	2.136e+17	3.14e-15	2.749	0	0.25	-3.8e+05	3.157e+27
     3e-08	1.385e+16	1.039e+23	2.139e+17	3.388e-15	2.749	0	0.25	-3.8e+05	3.063e+27
   3.2e-08	1.406e+16	1.01e+23	2.141e+17	3.656e-15	2.748	0	0.25	-3.8e+05	2.971e+27
   3.4e-08	1.426e+16	9.821e+22	2.143e+17	3.944e-15	2.747	0	0.25	-3.8e+05	2.883e+27
   3.6e-08	1.445e+16	9.55e+22	2.145e+17	4.256e-15	2.746	0	0.25	-3.8e+05	2.797e+27
   3.8e-08	1.464e+16	9.288e+22	2.146e+17	4.592e-15	2.746	0	0.25	-3.8e+05	2.714e+27
     4e-08	1.482e+16	9.035e+22	2.148e+17	4.955e-15	2.745	0	0.25	-3.8e+05	2.634e+27
   4.2e-08	1.5e+16	8.79e+22	2.15e+17	5.346e-15	2.744	0	0.25	-3.8e+05	2.557e+27
   4.4e-08	1.517e+16	8.552e+22	2.152e+17	5.768e-15	2.743	0	0.25	-3.8e+05	2.483e+27
   4.6e-08	1.534e+16	8.322e+22	2.153e+17	6.223e-15	2.743	0	0.25	-3.8e+05	2.411e+27
   4.8e-08	1.551e+16	8.1e+22	2.155e+17	6.715e-15	2.742	0	0.25	-3.8e+05	2.34e+27
     5e-08	1.567e+16	7.885e+22	2.157e+17	7.245e-15	2.741	0	0.25	-3.8e+05	2.272e+27
   5.2e-08	1.582e+16	7.677e+22	2.158e+17	7.817e-15	2.74	0	0.25	-3.8e+05	2.206e+27
   5.4e-08	1.597e+16	7.475e+22	2.16e+17	8.434e-15	2.739	0	0.25	-3.8e+05	2.142e+27
   5.6e-08	1.612e+16	7.281e+22	2.161e+17	9.1e-15	2.739	0	0.25	-3.8e+05	2.081e+27
   5.8e-08	1.627e+16	7.092e+22	2.163e+17	9.819e-15	2.738	0	0.25	-3.8e+05	2.022e+27
     6e-08	1.641e+16	6.91e+22	2.164e+17	1.059e-14	2.737	0	0.25	-3.8e+05	1.965e+27
   6.2e-08	1.654e+16	6.733e+22	2.165e+17	1.143e-14	2.736	0	0.25	-3.8e+05	1.909e+27
   6.4e-08	1.667e+16	6.562e+22	2.167e+17	1.233e-14	2.736	0	0.25	-3.8e+05	1.854e+27
   6.6e-08	1.68e+16	6.397e+22	2.168e+17	1.331e-14	2.735	0	0.25	-3.8e+05	1.802e+27
   6.8e-08	1.693e+16	6.237e+22	2.169e+17	1.436e-14	2.734	0	0.25	-3.8e+05	1.751e+27
     7e-08	1.705e+16	6.082e+22	2.171e+17	1.549e-14	2.733	0	0.25	-3.8e+05	1.702e+27
   7.2e-08	1.717e+16	5.932e+22	2.172e+17	1.671e-14	2.733	0	0.25	-3.8e+05	1.655e+27
   7.4e-08	1.729e+16	5.788e+22	2.173e+17	1.803e-14	2.732	0	0.25	-3.8e+05	1.61e+27
   7.6e-08	1.741e+16	5.647e+22	2.174e+17	1.946e-14	2.731	0	0.25	-3.8e+05	1.566e+27
   7.8e-08	1.752e+16	5.511e+22	2.175e+17	2.1e-14	2.73	0	0.25	-3.8e+05	1.524e+27
     8e-08	1.763e+16	5.38e+22	2.176e+17	2.265e-14	2.73	0	0.25	-3.8e+05	1.481e+27
   8.2e-08	1.773e+16	5.253e+22	2.177e+17	2.444e-14	2.729	0	0.25	-3.8e+05	1.441e+27
   8.4e-08	1.784e+16	5.13e+22	2.178e+17	2.637e-14	2.728	0	0.25	-3.8e+05	1.402e+27
   8.6e-08	1.794e+16	5.011e+22	2.179e+17	2.845e-14	2.727	0	0.25	-3.8e+05	1.364e+27
   8.8e-08	1.804e+16	4.896e+22	2.18e+17	3.07e-14	2.727	0	0.25	-3.8e+05	1.328e+27
     9e-08	1.813e+16	4.785e+22	2.181e+17	3.313e-14	2.726	0	0.25	-3.8e+05	1.293e+27
   9.2e-08	1.823e+16	4.677e+22	2.182e+17	3.574e-14	2.725	0	0.25	-3.8e+05	1.26e+27
   9.4e-08	1.832e+16	4.572e+22	2.183e+17	3.856e-14	2.724	0	0.25	-3.8e+05	1.227e+27
   9.6e-08	1.841e+16	4.471e+22	2.184e+17	4.161e-14	2.724	0	0.25	-3.8e+05	1.195e+27
   9.8e-08	1.85e+16	4.373e+22	2.185e+17	4.489e-14	2.723	0	0.25	-3.8e+05	1.164e+27
     1e-07	1.859e+16	4.279e+22	2.186e+17	4.844e-14	2.722	0	0.25	-3.8e+05	1.133e+27
  1.02e-07	1.867e+16	4.187e+22	2.187e+17	5.226e-14	2.721	0	0.25	-3.8e+05	1.105e+27
  1.04e-07	1.875e+16	4.099e+22	2.188e+17	5.639e-14	2.72	0	0.25	-3.8e+05	1.077e+27
  1.06e-07	1.883e+16	4.013e+22	2.188e+17	6.084e-14	2.72	0	0.25	-3.8e+05	1.05e+27
  1.08e-07	1.891e+16	3.93e+22	2.189e+17	6.565e-14	2.719	0	0.25	-3.8e+05	1.025e+27
   1.1e-07	1.899e+16	3.85e+22	2.19e+17	7.083e-14	2.718	0	0.25	-3.8e+05	9.995e+26
  1.12e-07	1.907e+16	3.772e+22	2.191e+17	7.642e-14	2.717	0	0.25	-3.8e+05	9.744e+26
  1.14e-07	1.914e+16	3.697e+22	2.191e+17	8.246e-14	2.717	0	0.25	-3.8e+05	9.503e+26
  1.16e-07	1.922e+16	3.624e+22	2.192e+17	8.897e-14	2.716	0	0.25	-3.8e+05	9.272e+26
  1.18e-07	1.929e+16	3.554e+22	2.193e+17	9.6e-14	2.715	0	0.25	-3.8e+05	9.05e+26
   1.2e-07	1.936e+16	3.486e+22	2.194e+17	1.036e-13	2.714	0	0.25	-3.8e+05	8.838e+26
  1.22e-07	1.943e+16	3.42e+22	2.194e+17	1.118e-13	2.714	0	0.25	-3.8e+05	8.636e+26
  1.24e-07	1.949e+16	3.356e+22	2.195e+17	1.206e-13	2.713	0	0.25	-3.8e+05	8.443e+26
  1.26e-07	1.956e+16	3.295e+22	2.196e+17	1.301e-13	2.712	0	0.25	-3.8e+05	8.242e+26
  1.28e-07	1.963e+16	3.235e+22	2.196e+17	1.404e-13	2.711	0	0.25	-3.8e+05	8.048e+26
   1.3e-07	1.969e+16	3.177e+22	2.197e+17	1.515e-13	2.711	0	0.25	-3.8e+05	7.862e+26
  1.32e-07	1.975e+16	3.121e+22	2.198e+17	1.634e-13	2.71	0	0.25	-3.8e+05	7.683e+26
  1.34e-07	1.982e+16	3.067e+22	2.198e+17	1.763e-13	2.709	0	0.25	-3.8e+05	7.513e+26
  1.36e-07	1.988e+16	3.015e+22	2.199e+17	1.902e-13	2.708	0	0.25	-3.8e+05	7.351e+26
  1.38e-07	1.994e+16	2.965e+22	2.199e+17	2.053e-13	2.708	0	0.25	-3.8e+05	7.196e+26
   1.4e-07	1.999e+16	2.915e+22	2.2e+17	2.215e-13	2.707	0	0.25	-3.8e+05	7.047e+26
  1.42e-07	2.005e+16	2.868e+22	2.201e+17	2.39e-13	2.706	0	0.25	-3.8e+05	6.891e+26
