PZone width 	 Eg_0 	 Eg0_max 	 S 	 photo current 	 minor current 	 Short-curcuit current 	 Shade current 	 Open-curcuit voltage 	 MPPT power 	 MPPT current 	 MPPT voltage 	 Fill Factor 	 Efficiency 

1e-06	1.5	1.58334	1	27.7754	0.000849182	27.7763	2.15262e-12	0.780433	18.5958	26.7566	0.695	0.085784	18.5958
1.5e-06	1.5	1.62501	1	27.7433	0.00058271	27.7439	2.15262e-12	0.780403	18.5734	26.7243	0.695	0.0857835	18.5734
2e-06	1.5	1.66667	1	27.7096	0.000405508	27.71	2.15262e-12	0.780372	18.5498	26.6903	0.695	0.0857829	18.5498
2.5e-06	1.5	1.70834	1	27.6746	0.000286303	27.6749	2.15262e-12	0.780339	18.5254	26.6552	0.695	0.0857824	18.5254
3e-06	1.5	1.75001	1	27.6387	0.000203953	27.6389	2.15262e-12	0.780305	18.5004	26.6192	0.695	0.0857818	18.5004
3.5e-06	1.5	1.79168	1	27.6021	0.000147729	27.6023	2.15262e-12	0.780271	18.4749	26.5826	0.695	0.0857812	18.4749
4e-06	1.5	1.83335	1	27.5652	0.000109288	27.5653	2.15262e-12	0.780236	18.4492	26.5456	0.695	0.0857806	18.4492
4.5e-06	1.5	1.87502	1	27.5278	8.32e-05	27.5279	2.15262e-12	0.780201	18.4232	26.5083	0.695	0.08578	18.4232
5e-06	1.5	1.91668	1	27.4903	6.50387e-05	27.4904	2.15262e-12	0.780166	18.3971	26.4707	0.695	0.0857794	18.3971
5.5e-06	1.5	1.95835	1	27.4526	5.24805e-05	27.4526	2.15262e-12	0.78013	18.3709	26.4329	0.695	0.0857787	18.3709
6e-06	1.5	2.00002	1	27.4147	4.3711e-05	27.4147	2.15262e-12	0.780095	18.3446	26.3951	0.695	0.0857781	18.3446
6.5e-06	1.5	2.04169	1	27.3767	3.7506e-05	27.3768	2.15262e-12	0.780059	18.3182	26.3571	0.695	0.0857774	18.3182
7e-06	1.5	2.08336	1	27.3387	3.30364e-05	27.3387	2.15262e-12	0.780023	18.2918	26.3191	0.695	0.0857768	18.2918
7.5e-06	1.5	2.12503	1	27.3006	2.9744e-05	27.3007	2.15262e-12	0.779987	18.2653	26.281	0.695	0.0857761	18.2653
8e-06	1.5	2.16669	1	27.2625	2.7253e-05	27.2625	2.15262e-12	0.779951	18.2388	26.2429	0.695	0.0857754	18.2388
8.5e-06	1.5	2.20836	1	27.2244	2.53036e-05	27.2244	2.15262e-12	0.779914	18.2123	26.2047	0.695	0.0857747	18.2123
9e-06	1.5	2.25003	1	27.1863	2.37407e-05	27.1863	2.15262e-12	0.779878	18.1858	26.1666	0.695	0.085774	18.1858
9.5e-06	1.5	2.2917	1	27.1481	2.24478e-05	27.1481	2.15262e-12	0.779842	18.1593	26.1285	0.695	0.0857733	18.1593
1e-05	1.5	2.33337	1	27.11	2.13465e-05	27.11	2.15262e-12	0.779806	18.1328	26.0903	0.695	0.0857726	18.1328
