Voltage 	 Current 	 Power 

              0	34.1042	0
          0.005	34.1042	0.170521
           0.01	34.1042	0.341042
          0.015	34.1042	0.511564
           0.02	34.1042	0.682085
          0.025	34.1042	0.852606
           0.03	34.1042	1.02313
          0.035	34.1042	1.19365
           0.04	34.1042	1.36417
          0.045	34.1042	1.53469
           0.05	34.1042	1.70521
          0.055	34.1042	1.87573
           0.06	34.1042	2.04625
          0.065	34.1042	2.21678
           0.07	34.1042	2.3873
          0.075	34.1042	2.55782
           0.08	34.1042	2.72834
          0.085	34.1042	2.89886
           0.09	34.1042	3.06938
          0.095	34.1042	3.2399
            0.1	34.1042	3.41042
          0.105	34.1042	3.58094
           0.11	34.1042	3.75147
          0.115	34.1042	3.92199
           0.12	34.1042	4.09251
          0.125	34.1042	4.26303
           0.13	34.1042	4.43355
          0.135	34.1042	4.60407
           0.14	34.1042	4.77459
          0.145	34.1042	4.94511
           0.15	34.1042	5.11564
          0.155	34.1042	5.28616
           0.16	34.1042	5.45668
          0.165	34.1042	5.6272
           0.17	34.1042	5.79772
          0.175	34.1042	5.96824
           0.18	34.1042	6.13876
          0.185	34.1042	6.30928
           0.19	34.1042	6.4798
          0.195	34.1042	6.65033
            0.2	34.1042	6.82085
          0.205	34.1042	6.99137
           0.21	34.1042	7.16189
          0.215	34.1042	7.33241
           0.22	34.1042	7.50293
          0.225	34.1042	7.67345
           0.23	34.1042	7.84397
          0.235	34.1042	8.01449
           0.24	34.1042	8.18501
          0.245	34.1042	8.35553
           0.25	34.1042	8.52605
          0.255	34.1042	8.69657
           0.26	34.1042	8.86709
          0.265	34.1042	9.0376
           0.27	34.1042	9.20812
          0.275	34.1041	9.37864
           0.28	34.1041	9.54915
          0.285	34.1041	9.71966
           0.29	34.1041	9.89018
          0.295	34.104	10.0607
            0.3	34.104	10.2312
          0.305	34.1039	10.4017
           0.31	34.1038	10.5722
          0.315	34.1038	10.7427
           0.32	34.1036	10.9132
          0.325	34.1035	11.0836
           0.33	34.1034	11.2541
          0.335	34.1032	11.4246
           0.34	34.103	11.595
          0.345	34.1027	11.7654
           0.35	34.1024	11.9358
          0.355	34.102	12.1062
           0.36	34.1015	12.2765
          0.365	34.1009	12.4468
           0.37	34.1002	12.6171
          0.375	34.0993	12.7872
           0.38	34.0982	12.9573
          0.385	34.097	13.1273
           0.39	34.0954	13.2972
          0.395	34.0935	13.4669
            0.4	34.0912	13.6365
          0.405	34.0885	13.8058
           0.41	34.0851	13.9749
          0.415	34.081	14.1436
           0.42	34.0761	14.312
          0.425	34.0701	14.4798
           0.43	34.0628	14.647
          0.435	34.0539	14.8135
           0.44	34.0432	14.979
          0.445	34.0302	15.1434
           0.45	34.0144	15.3065
          0.455	33.9952	15.4678
           0.46	33.9719	15.6271
          0.465	33.9437	15.7838
           0.47	33.9094	15.9374
          0.475	33.8678	16.0872
           0.48	33.8174	16.2323
          0.485	33.7562	16.3717
           0.49	33.6819	16.5041
          0.495	33.5918	16.6279
            0.5	33.4825	16.7412
          0.505	33.3498	16.8416
           0.51	33.1888	16.9263
          0.515	32.9935	16.9916
           0.52	32.7564	17.0333
          0.525	32.4689	17.0461
           0.53	32.1199	17.0235
          0.535	31.6965	16.9576
           0.54	31.1827	16.8387
          0.545	30.5593	16.6548
           0.55	29.8029	16.3916
          0.555	28.8851	16.0312
           0.56	27.7715	15.552
          0.565	26.4202	14.9274
           0.57	24.7806	14.1249
          0.575	22.7911	13.1049
           0.58	20.3771	11.8187
          0.585	17.448	10.2071
           0.59	13.8939	8.19742
          0.595	9.58149	5.70098
            0.6	4.34885	2.60931
          0.605	-2.00031	-1.21019
